,id,name,description,pic_url,total_comics,total_series,total_stories,total_events
1009220,1009220,Captain America,"Vowing to serve his country any way he could, young Steve Rogers took the super soldier serum to become America's one-man army. Fighting for the red, white and blue for over 60 years, Captain America is the living, breathing symbol of freedom and liberty.",http://i.annihil.us/u/prod/marvel/i/mg/3/50/537ba56d31087.jpg,2426,689,3592,31
1010740,1010740,Winter Soldier,,http://i.annihil.us/u/prod/marvel/i/mg/d/03/5265478293c1e.jpg,216,106,232,11
1009471,1009471,Nick Fury,,http://i.annihil.us/u/prod/marvel/i/mg/3/c0/5261a745e658d.jpg,531,200,606,10
1009552,1009552,S.H.I.E.L.D.,,http://i.annihil.us/u/prod/marvel/i/mg/6/20/51097abb8e306.jpg,165,72,196,1
1009228,1009228,Sharon Carter,,http://i.annihil.us/u/prod/marvel/i/mg/6/d0/4ce59f2323b88.jpg,114,44,141,4
1011109,1011109,X-Men (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/4feb34f2017a0.jpg,186,27,309,0
1010808,1010808,Hawkeye (Kate Bishop),,http://i.annihil.us/u/prod/marvel/i/mg/c/10/537bad9caa831.jpg,97,38,95,3
1009515,1009515,Punisher,,http://i.annihil.us/u/prod/marvel/i/mg/3/90/5261675f6b22f.jpg,738,203,949,9
1009252,1009252,Crossbones,,http://i.annihil.us/u/prod/marvel/i/mg/1/c0/4c00405a403c0.jpg,46,23,61,2
1009535,1009535,Red Skull,,http://i.annihil.us/u/prod/marvel/i/mg/2/03/526036550cd37.jpg,173,88,210,7
1010899,1010899,Spitfire,"During World War II, Jacqueline Falsworth bravely served in Britain’s Home Guard.",http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c00359222ceb.jpg,29,14,33,1
1011010,1011010,Spider-Man (Ultimate),"Peter’s relatively normal life changed abruptly during a school trip to Osborn Industries, Inc, where the company had been working on a super soldier serum, the Oz Compound; a spider exposed to it escaped and bit Peter before it was destroyed.",http://i.annihil.us/u/prod/marvel/i/mg/3/50/531771b4e8c60.jpg,260,45,351,0
